,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wallet Address:,0x749Ad5e67F52e9885B33f6F6625574ddDaDb52eE,0xc6Ccecb3B0C1474294Af5C3579A888B9F947cF97,0x85F2DF88a273a632C44f48CC6F94469500CED42b,0x677Ffe1Ee372e4f6aF8b6583B0012289940e2324,0x0E8b32C39AF8CC81f2471810eddFd5A3d3EF0dce,0x74aD20a33B37cCA9f5Bd150BB4ce49cF50d0b5eb,0x6EAbb5FaaEEF7a14ABfDE529F1dB80384f405E17,0x27A818372670575914B50ff02580335e458fc696,0xFab398B2cbB51Cf2d00D8819f57853dafC721CeF,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xf484D78306E068BfE682829304344cf15FBedB49,0x7ea226f9fBAbFf6263D6937878CCa7867f2bB091,0x2C94c9590c5A4A691B46a0D6276DC90468d9f635,0x949f482347B02b25Df153942D84501Efb4698CB1,0x8c405dD569d597720c04e3c1577cE3841e206cE5,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xE23Aa13d53A728ECa4B1ae59Ae008Eef89c79f51,0x9A3CcbF4f2Fa1899a2165A367AcE6532Db592646,0xB913A66828e3c5E9e817876a3059F3baE77ECaFe,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xB35f6cbbd5f0b1eC1cbb50c5bf2620fd5f2918D4,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0x5D6977aC3E7c8139f1C607308292ee4Cc4773865,0x815070A584d52384A1CdbFf844a38ae657e93aC8,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xb3C5839c98530efe921e3f35A0CF1bDf03EAA08d,0xB9d3F7cc1B916e5dA7537d28964fFaBbCf921A87,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0xDe3258C1C45a557F4924d1E4e3d0A4E5341607Ee,0xCDA47d2cdA26ce48f48eDAB86CE0Ab52C153Ba7F,0xF6bC475378c2DE2465Ef86403A8492C3A89EF64C,0xC0d6Bc5d052d1e74523AD79dD5A954276c9286D3,0x6320d43FE9939efAD4d48bfCdC63C06BAFc2FE3d
,Cliff Date:,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024,01/01/2024
,End Date:,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026,12/31/2026
,Number of Tokens:,"732,073","11,734","9,452","50,566","6,193","6,275","55,003","550,196","76,924","84,746","38,462","84,746","38,462","38,462","28,683","19,231","19,231","19,231","9,452","19,231","7,823","19,231","9,452","9,452","11,734","9,452","9,452","10,104",978,"5,541","18,579","2,282",978,"9,126","1,304"
Installment,Date ,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens,Unlocked Tokens
1,"January 31, 2024","20,335",326,263,"1,405",172,174,"1,528","15,283","2,137","2,354","1,068","2,354","1,068","1,068",797,534,534,534,263,534,217,534,263,263,326,263,263,281,27,154,516,63,27,254,36
2,"February 29, 2024","40,671",652,525,"2,809",344,349,"3,056","30,566","4,274","4,708","2,137","4,708","2,137","2,137","1,594","1,068","1,068","1,068",525,"1,068",435,"1,068",525,525,652,525,525,561,54,308,"1,032",127,54,507,72
3,"March 31, 2024","61,006",978,788,"4,214",516,523,"4,584","45,850","6,410","7,062","3,205","7,062","3,205","3,205","2,390","1,603","1,603","1,603",788,"1,603",652,"1,603",788,788,978,788,788,842,82,462,"1,548",190,82,761,109
4,"April 30, 2024","81,341","1,304","1,050","5,618",688,697,"6,111","61,133","8,547","9,416","4,274","9,416","4,274","4,274","3,187","2,137","2,137","2,137","1,050","2,137",869,"2,137","1,050","1,050","1,304","1,050","1,050","1,123",109,616,"2,064",254,109,"1,014",145
5,"May 31, 2024","101,677","1,630","1,313","7,023",860,872,"7,639","76,416","10,684","11,770","5,342","11,770","5,342","5,342","3,984","2,671","2,671","2,671","1,313","2,671","1,087","2,671","1,313","1,313","1,630","1,313","1,313","1,403",136,770,"2,580",317,136,"1,268",181
6,"June 30, 2024","122,012","1,956","1,575","8,428","1,032","1,046","9,167","91,699","12,821","14,124","6,410","14,124","6,410","6,410","4,781","3,205","3,205","3,205","1,575","3,205","1,304","3,205","1,575","1,575","1,956","1,575","1,575","1,684",163,924,"3,097",380,163,"1,521",217
7,"July 31, 2024","142,348","2,282","1,838","9,832","1,204","1,220","10,695","106,983","14,957","16,478","7,479","16,478","7,479","7,479","5,577","3,739","3,739","3,739","1,838","3,739","1,521","3,739","1,838","1,838","2,282","1,838","1,838","1,965",190,"1,077","3,613",444,190,"1,775",254
8,"August 31, 2024","162,683","2,608","2,100","11,237","1,376","1,394","12,223","122,266","17,094","18,832","8,547","18,832","8,547","8,547","6,374","4,274","4,274","4,274","2,100","4,274","1,738","4,274","2,100","2,100","2,608","2,100","2,100","2,245",217,"1,231","4,129",507,217,"2,028",290
9,"September 30, 2024","183,018","2,934","2,363","12,642","1,548","1,569","13,751","137,549","19,231","21,187","9,616","21,187","9,616","9,616","7,171","4,808","4,808","4,808","2,363","4,808","1,956","4,808","2,363","2,363","2,934","2,363","2,363","2,526",245,"1,385","4,645",571,245,"2,282",326
10,"October 31, 2024","203,354","3,259","2,626","14,046","1,720","1,743","15,279","152,832","21,368","23,541","10,684","23,541","10,684","10,684","7,968","5,342","5,342","5,342","2,626","5,342","2,173","5,342","2,626","2,626","3,259","2,626","2,626","2,807",272,"1,539","5,161",634,272,"2,535",362
11,"November 30, 2024","223,689","3,585","2,888","15,451","1,892","1,917","16,806","168,115","23,505","25,895","11,752","25,895","11,752","11,752","8,764","5,876","5,876","5,876","2,888","5,876","2,390","5,876","2,888","2,888","3,585","2,888","2,888","3,087",299,"1,693","5,677",697,299,"2,789",398
12,"December 31, 2024","244,024","3,911","3,151","16,855","2,064","2,092","18,334","183,399","25,641","28,249","12,821","28,249","12,821","12,821","9,561","6,410","6,410","6,410","3,151","6,410","2,608","6,410","3,151","3,151","3,911","3,151","3,151","3,368",326,"1,847","6,193",761,326,"3,042",435
13,"January 31, 2025","264,360","4,237","3,413","18,260","2,236","2,266","19,862","198,682","27,778","30,603","13,889","30,603","13,889","13,889","10,358","6,945","6,945","6,945","3,413","6,945","2,825","6,945","3,413","3,413","4,237","3,413","3,413","3,649",353,"2,001","6,709",824,353,"3,296",471
14,"February 28, 2025","284,695","4,563","3,676","19,665","2,408","2,440","21,390","213,965","29,915","32,957","14,957","32,957","14,957","14,957","11,155","7,479","7,479","7,479","3,676","7,479","3,042","7,479","3,676","3,676","4,563","3,676","3,676","3,929",380,"2,155","7,225",887,380,"3,549",507
15,"March 31, 2025","305,030","4,889","3,938","21,069","2,580","2,615","22,918","229,248","32,052","35,311","16,026","35,311","16,026","16,026","11,951","8,013","8,013","8,013","3,938","8,013","3,260","8,013","3,938","3,938","4,889","3,938","3,938","4,210",408,"2,309","7,741",951,408,"3,803",543
16,"April 30, 2025","325,366","5,215","4,201","22,474","2,752","2,789","24,446","244,532","34,188","37,665","17,094","37,665","17,094","17,094","12,748","8,547","8,547","8,547","4,201","8,547","3,477","8,547","4,201","4,201","5,215","4,201","4,201","4,491",435,"2,463","8,257","1,014",435,"4,056",580
17,"May 31, 2025","345,701","5,541","4,463","23,878","2,924","2,963","25,974","259,815","36,325","40,019","18,163","40,019","18,163","18,163","13,545","9,081","9,081","9,081","4,463","9,081","3,694","9,081","4,463","4,463","5,541","4,463","4,463","4,771",462,"2,617","8,773","1,078",462,"4,310",616
18,"June 30, 2025","366,037","5,867","4,726","25,283","3,097","3,138","27,502","275,098","38,462","42,373","19,231","42,373","19,231","19,231","14,342","9,616","9,616","9,616","4,726","9,616","3,912","9,616","4,726","4,726","5,867","4,726","4,726","5,052",489,"2,771","9,290","1,141",489,"4,563",652
19,"July 31, 2025","386,372","6,193","4,989","26,688","3,269","3,312","29,029","290,381","40,599","44,727","20,299","44,727","20,299","20,299","15,138","10,150","10,150","10,150","4,989","10,150","4,129","10,150","4,989","4,989","6,193","4,989","4,989","5,333",516,"2,924","9,806","1,204",516,"4,817",688
20,"August 31, 2025","406,707","6,519","5,251","28,092","3,441","3,486","30,557","305,664","42,736","47,081","21,368","47,081","21,368","21,368","15,935","10,684","10,684","10,684","5,251","10,684","4,346","10,684","5,251","5,251","6,519","5,251","5,251","5,613",543,"3,078","10,322","1,268",543,"5,070",724
21,"September 30, 2025","427,043","6,845","5,514","29,497","3,613","3,660","32,085","320,948","44,872","49,435","22,436","49,435","22,436","22,436","16,732","11,218","11,218","11,218","5,514","11,218","4,563","11,218","5,514","5,514","6,845","5,514","5,514","5,894",571,"3,232","10,838","1,331",571,"5,324",761
22,"October 31, 2025","447,378","7,171","5,776","30,901","3,785","3,835","33,613","336,231","47,009","51,789","23,505","51,789","23,505","23,505","17,529","11,752","11,752","11,752","5,776","11,752","4,781","11,752","5,776","5,776","7,171","5,776","5,776","6,175",598,"3,386","11,354","1,395",598,"5,577",797
23,"November 30, 2025","467,713","7,497","6,039","32,306","3,957","4,009","35,141","351,514","49,146","54,143","24,573","54,143","24,573","24,573","18,325","12,286","12,286","12,286","6,039","12,286","4,998","12,286","6,039","6,039","7,497","6,039","6,039","6,455",625,"3,540","11,870","1,458",625,"5,831",833
24,"December 31, 2025","488,049","7,823","6,301","33,711","4,129","4,183","36,669","366,797","51,283","56,497","25,641","56,497","25,641","25,641","19,122","12,821","12,821","12,821","6,301","12,821","5,215","12,821","6,301","6,301","7,823","6,301","6,301","6,736",652,"3,694","12,386","1,521",652,"6,084",869
25,"January 31, 2026","508,384","8,149","6,564","35,115","4,301","4,358","38,197","382,081","53,419","58,851","26,710","58,851","26,710","26,710","19,919","13,355","13,355","13,355","6,564","13,355","5,433","13,355","6,564","6,564","8,149","6,564","6,564","7,017",679,"3,848","12,902","1,585",679,"6,338",906
26,"February 28, 2026","528,719","8,475","6,826","36,520","4,473","4,532","39,724","397,364","55,556","61,205","27,778","61,205","27,778","27,778","20,716","13,889","13,889","13,889","6,826","13,889","5,650","13,889","6,826","6,826","8,475","6,826","6,826","7,297",706,"4,002","13,418","1,648",706,"6,591",942
27,"March 31, 2026","549,055","8,801","7,089","37,925","4,645","4,706","41,252","412,647","57,693","63,560","28,847","63,560","28,847","28,847","21,512","14,423","14,423","14,423","7,089","14,423","5,867","14,423","7,089","7,089","8,801","7,089","7,089","7,578",734,"4,156","13,934","1,712",734,"6,845",978
28,"April 30, 2026","569,390","9,126","7,352","39,329","4,817","4,881","42,780","427,930","59,830","65,914","29,915","65,914","29,915","29,915","22,309","14,957","14,957","14,957","7,352","14,957","6,085","14,957","7,352","7,352","9,126","7,352","7,352","7,859",761,"4,310","14,450","1,775",761,"7,098","1,014"
29,"May 31, 2026","589,725","9,452","7,614","40,734","4,989","5,055","44,308","443,213","61,967","68,268","30,983","68,268","30,983","30,983","23,106","15,492","15,492","15,492","7,614","15,492","6,302","15,492","7,614","7,614","9,452","7,614","7,614","8,139",788,"4,464","14,966","1,838",788,"7,352","1,050"
30,"June 30, 2026","610,061","9,778","7,877","42,138","5,161","5,229","45,836","458,497","64,103","70,622","32,052","70,622","32,052","32,052","23,903","16,026","16,026","16,026","7,877","16,026","6,519","16,026","7,877","7,877","9,778","7,877","7,877","8,420",815,"4,618","15,483","1,902",815,"7,605","1,087"
31,"July 31, 2026","630,396","10,104","8,139","43,543","5,333","5,403","47,364","473,780","66,240","72,976","33,120","72,976","33,120","33,120","24,699","16,560","16,560","16,560","8,139","16,560","6,736","16,560","8,139","8,139","10,104","8,139","8,139","8,701",842,"4,771","15,999","1,965",842,"7,859","1,123"
32,"August 31, 2026","650,732","10,430","8,402","44,948","5,505","5,578","48,892","489,063","68,377","75,330","34,188","75,330","34,188","34,188","25,496","17,094","17,094","17,094","8,402","17,094","6,954","17,094","8,402","8,402","10,430","8,402","8,402","8,981",869,"4,925","16,515","2,028",869,"8,112","1,159"
33,"September 30, 2026","671,067","10,756","8,664","46,352","5,677","5,752","50,419","504,346","70,514","77,684","35,257","77,684","35,257","35,257","26,293","17,628","17,628","17,628","8,664","17,628","7,171","17,628","8,664","8,664","10,756","8,664","8,664","9,262",897,"5,079","17,031","2,092",897,"8,366","1,195"
34,"October 31, 2026","691,402","11,082","8,927","47,757","5,849","5,926","51,947","519,630","72,650","80,038","36,325","80,038","36,325","36,325","27,090","18,163","18,163","18,163","8,927","18,163","7,388","18,163","8,927","8,927","11,082","8,927","8,927","9,543",924,"5,233","17,547","2,155",924,"8,619","1,232"
35,"November 30, 2026","711,738","11,408","9,189","49,161","6,021","6,101","53,475","534,913","74,787","82,392","37,394","82,392","37,394","37,394","27,886","18,697","18,697","18,697","9,189","18,697","7,606","18,697","9,189","9,189","11,408","9,189","9,189","9,823",951,"5,387","18,063","2,219",951,"8,873","1,268"
36,"December 31, 2026","732,073","11,734","9,452","50,566","6,193","6,275","55,003","550,196","76,924","84,746","38,462","84,746","38,462","38,462","28,683","19,231","19,231","19,231","9,452","19,231","7,823","19,231","9,452","9,452","11,734","9,452","9,452","10,104",978,"5,541","18,579","2,282",978,"9,126","1,304"
